"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.F2.A7TX.01"	0.0765025926603447	6.62695506001187e-15	0.361231051019256	0.143193069460154	0.00644202826174164	0.0213271942181984	0.271410390216239	0.0665219662789944	6.62695506001187e-15
"TCGA.F2.A8YN.01"	1.18173203615728e-14	0.124939791144041	1.18173203615728e-14	0.168784167030815	1.18173203615728e-14	0.146440022459166	1.18173203615728e-14	0.193514580650262	0.0506225611504183
"TCGA.FB.A4P6.01"	0.223846867256775	0.0827905931290686	0.173820156743636	0.0340720272981469	0.269401609343081	0.104948853938187	0.0259697641344579	6.98977701308018e-15	0.0600656782301865
"TCGA.FB.A5VM.01"	0.0548130471464729	3.06555588186182e-05	0.234763052274483	0.131413033846563	0.0421125617254053	0.103691001415099	0.253761098734044	5.76132303365536e-15	0.0304903169092697
"TCGA.FB.A78T.01"	0.0515403235159489	0.236336283307839	0.219918511794831	0.181784579962935	8.03278900897812e-15	0.00618714008768358	0.0522774836667375	1.8448482121901e-11	0.165185708285296
"TCGA.FB.AAPP.01"	4.38912209078478e-15	4.38912209078478e-15	4.38912209078478e-15	4.38912209078478e-15	4.38912209078478e-15	4.38912209078478e-15	0.0119530187617959	0.0658827842375688	0.0011490516603459
"TCGA.FB.AAPQ.01"	1.09548944661998e-14	0.0416693906103722	1.09548944661998e-14	0.0313111375083847	0.000880598098820196	0.0425741178136342	1.09548944661998e-14	0.0632840196203591	1.09548944661998e-14
"TCGA.FB.AAPU.01"	0.00534225834454233	7.92396006514132e-15	7.92396006514132e-15	7.92396006514132e-15	7.92396006514132e-15	7.92396006514132e-15	7.92396006514132e-15	0.276445550006524	0.0256788064193119
"TCGA.FB.AAPY.01"	0.265407359146755	0.202780286112692	0.22645486788333	0.117508728507158	0.055414113050349	0.0549227107391846	0.000761163332668207	0.0128002856778375	0.063950485550002
"TCGA.FB.AAPZ.01"	0.158003337984379	0.151225512747584	0.0678679862805874	0.279126093418774	0.0940969799853976	0.104760259080642	0.144919830502588	7.83548306264803e-15	7.83548306264803e-15
"TCGA.FB.AAQ0.01"	8.02245609344909e-15	8.02245609344909e-15	8.02245609344909e-15	8.02245609344909e-15	8.02245609344909e-15	0.0347084030727687	8.02245609344909e-15	0.110188485110327	0.0311093472336295
