"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.HV.A5A4.01"	0.0153754546440037	0.0277200305202748	0.0113212807371207	8.76828509681601e-15	8.76828509681601e-15	0.048783218807678	0.0888670895595627	0.075761445637364	0.173445653900233
"TCGA.HV.AA8V.01"	9.35179867734763e-15	0.196213937929122	9.35179867734763e-15	0.0165380825219968	9.35179867734763e-15	0.235571560087029	0.0457235420426902	9.35179867734763e-15	0.109881359987478
"TCGA.HZ.7918.01"	0.152771031587572	0.103196239367009	0.329192325791079	0.00529603342890329	0.0131987393298016	6.46973943908874e-15	0.0612639272331914	0.159613758914708	0.0152289416841275
"TCGA.HZ.7920.01"	0.149072319891589	7.05545273771862e-15	0.0228057331301745	0.0780544578345477	0.338321229028053	7.05545273771862e-15	0.0816124058600955	0.152259412588699	0.0576629314994801
"TCGA.HZ.7922.01"	0.0126148215147726	1.00386012655793e-14	0.0305496618823613	0.0320635565194001	1.00386012655793e-14	0.18933061440761	1.00386012655793e-14	0.20170959387932	0.0586192903964356
"TCGA.HZ.7923.01"	0.290706149632198	0.0667608082032496	0.0508010355622806	0.171946330404411	0.244030477471187	0.0175533996571912	0.00660270412260246	0.00691608135113329	0.144642070480239
"TCGA.HZ.7925.01"	8.65114687784281e-15	0.0108557976602017	8.65114687784281e-15	0.100660666895033	0.049287951483884	0.368829870266977	0.0542919437076956	0.0181624477647143	0.0275726443783303
"TCGA.HZ.8001.01"	0.127888197753056	0.0602047390409354	0.0877638908423432	0.115466570645052	0.236605234292841	0.0535679024717607	0.0643335043465436	0.0348422473262498	0.00534310976595895
"TCGA.HZ.8002.01"	0.168262164015891	0.0425238877768267	0.00258784292090355	0.128379152293531	0.314212672327045	0.0120287942923886	0.047303037983927	0.204744624121782	0.0769682576463543
"TCGA.HZ.8003.01"	0.0372005006354313	0.0393289544341592	0.0985777909505296	0.0181838231860108	6.81917484848318e-15	6.81917484848318e-15	0.0403880945819687	0.00106090926327303	0.0307736939219561
"TCGA.HZ.8005.01"	6.80042510708597e-15	6.80042510708597e-15	0.074787786001524	0.0413482349429059	6.80042510708597e-15	0.10552671618149	0.101285364968625	0.0912763700305259	6.80042510708597e-15
"TCGA.HZ.8315.01"	0.0496899441415925	0.127161804513384	0.125632563501405	0.126536746229779	0.0398883506981421	0.0349822014372762	1.06181041801682e-14	0.197943132429501	0.182418650051618
"TCGA.HZ.8519.01"	0.115613402132114	7.86409132287148e-15	0.0823604345937991	7.86409132287148e-15	0.280041593200252	7.86409132287148e-15	0.00372896756967923	0.221756990522252	0.226480957258151
"TCGA.HZ.8636.01"	0.107515517708786	0.0215078818785453	0.0432507482486114	0.203719856071734	8.68606598176579e-15	0.0687238652786104	0.180144037546452	0.178473692558425	0.082349965302648
"TCGA.HZ.8637.01"	0.217634269383236	0.026043051925145	0.382340333940519	0.114947347145793	0.0166262818622914	4.53994770247245e-15	0.0598901803644093	0.110828712645361	0.041473710849756
"TCGA.HZ.A49G.01"	0.0957918990712752	0.265314291402757	0.0498947690709431	0.249843134652391	0.0437538443726759	7.19933817081149e-15	0.0534414397979149	2.40007062589658e-10	0.160957130378097
"TCGA.HZ.A49H.01"	0.108154507640681	7.96625752511055e-15	0.0306310728587196	0.0259279908791826	0.268479825900762	7.96625752511055e-15	0.148841656235266	0.0166420116442857	0.070596069622454
"TCGA.HZ.A77P.01"	9.74136174052988e-15	0.024111318149485	0.0227772496897572	0.0105805119593963	0.343255787073571	0.0118563998890804	0.121263632234461	0.0387746699484914	0.102120632943436
"TCGA.HZ.A77Q.01"	0.0969648091247657	0.132111331965178	0.00431672581110915	0.2779214533085	0.103032486818886	0.208099383438116	0.0851435206469875	7.14525499824206e-15	7.14525499824206e-15
"TCGA.IB.7645.01"	0.150464026776355	0.11477409679282	0.107836068668948	0.20963550464074	0.184731863750259	0.0692862883276306	0.0688626263376614	0.0811546248518233	0.00626298572861978
"TCGA.IB.7646.01"	6.42741776049816e-15	6.42741776049816e-15	0.0984652182944947	0.140168174176097	6.42741776049816e-15	0.0988506783219769	0.0830312953964453	0.176554138682871	0.100278260823379
"TCGA.IB.7647.01"	0.232228799008296	0.00973869427092406	0.0579955278445636	0.0592898410543096	0.0898383096698065	0.0231664374148868	0.0992900868434543	0.257567464980988	0.00795842031504753
"TCGA.IB.7649.01"	0.125387018703981	0.313369609221105	0.0276113658181514	0.0722226768327895	0.0995927530424561	0.00756599761163885	0.0816072416143398	0.112499176891671	0.0256472451013101
"TCGA.IB.7651.01"	0.0141884046645093	0.116826959143654	0.354683613964193	0.0590538621250931	0.00269202708372936	0.00461100714121587	0.0617564144144817	0.15384839376254	0.0198083988455868
"TCGA.IB.7654.01"	0.00208249465151839	0.0064664906323302	3.55936922504568e-10	8.07690953481382e-15	0.0100922312547048	0.0421676595611522	0.0217925195062501	0.0995638385134314	8.07690953481382e-15
"TCGA.IB.7885.01"	8.92058311487579e-14	0.207529085793663	0.0572567546391954	0.151302545219992	0.0324399218883539	0.111214049691925	0.0678396202410936	0.0645777777186213	1.06953293371777e-14
"TCGA.IB.7886.01"	9.16096205427438e-15	9.16096205427438e-15	0.116455569557169	0.11056591020518	9.16096205427438e-15	0.0339460048391276	0.0221593536642497	0.229807066208425	9.16096205427438e-15
"TCGA.IB.7887.01"	7.80340328625048e-15	0.0171460660041267	0.00162670573193509	7.80340328625048e-15	7.80340328625048e-15	0.0310580152944253	0.0678347444265561	0.222709543100455	0.0287679850934432
"TCGA.IB.7888.01"	0.27157567026439	7.41765865440405e-15	0.0770374792183053	0.127653477248391	0.199628708845373	0.0329833571896459	0.0708566715975523	0.0908200177900027	0.0115776278883724
"TCGA.IB.7890.01"	8.80727486401612e-15	0.0579516949154743	8.80727486401612e-15	0.0757795541322208	0.0148829482106044	0.444887272436608	1.95162362582574e-12	0.128354367296829	0.000384278976103086
