"ID"	"S01"	"S02"	"S03"
"TCGA.HZ.A8P1.01"	2.87080025269393e-14	0.0113709553400583	2.87080025269393e-14
"TCGA.HZ.A9TJ.01"	2.71698641120083e-14	0.12715394706261	2.71698641120083e-14
"TCGA.HZ.A9TJ.06"	7.91211997238846e-15	0.0288367340449495	0.0302656379425422
"TCGA.IB.7644.01"	0.033232426111416	0.103656460525599	1.79203930349497e-14
"TCGA.IB.7652.01"	0.0376430334888941	0.438274953167299	1.36435749905834e-07
"TCGA.IB.7889.01"	7.79004822815657e-15	0.0920960763453812	0.419104692636891
"TCGA.IB.A5SP.01"	2.56366763511537e-14	0.164391292998777	7.95620703453199e-09
"TCGA.IB.A6UF.01"	1.97457208709072e-14	0.0321149011625908	0.0800744415178741
"TCGA.IB.A6UG.01"	1.29362412585618e-07	9.31197038619908e-15	2.9911109413426e-05
"TCGA.IB.A7LX.01"	0.0570199987403827	6.65245886308657e-15	6.65245886308657e-15
"TCGA.IB.A7M4.01"	1.13715119792622e-14	1.13715119792622e-14	0.346969904065712
"TCGA.IB.AAUM.01"	8.15609376912345e-08	0.0107629443117703	3.93007527985733e-14
"TCGA.IB.AAUN.01"	4.50016075556527e-14	0.192462552622032	4.50016075556527e-14
"TCGA.IB.AAUO.01"	9.90658196795212e-15	0.117358435467162	0.479272320977994
"TCGA.IB.AAUU.01"	1.27301457499106e-14	0.0998826504914329	1.27301457499106e-14
"TCGA.IB.AAUW.01"	9.70857318305982e-15	0.137859402185316	0.403636548249291
"TCGA.L1.A7W4.01"	0.140485957387899	1.08883530105892e-14	1.08883530105892e-14
"TCGA.LB.A7SX.01"	0.0604433934868247	7.38925457211421e-15	7.38925457211421e-15
"TCGA.LB.A8F3.01"	1.89296666489087e-14	1.89296666489087e-14	1.89296666489087e-14
"TCGA.LB.A9Q5.01"	1.73039512750175e-14	0.364207091292567	1.73039512750175e-14
"TCGA.OE.A75W.01"	1.24721202439666e-14	0.0881023719098896	0.68186973872433
"TCGA.Q3.AA2A.01"	2.52072342031075e-14	0.216212189274041	2.52072342031075e-14
"TCGA.RB.AA9M.01"	9.99507772983095e-15	0.0543679550921757	0.0133338328389601
"TCGA.S4.A8RM.01"	0.231064800480144	1.17917131087509e-14	1.17917131087509e-14
"TCGA.S4.A8RO.01"	2.22626119647848e-14	0.293724370626346	1.99827987567537e-09
"TCGA.S4.A8RP.01"	1.03317064513319e-14	0.196080649707346	2.10866530354333e-09
"TCGA.US.A776.01"	0.0220354096347295	2.92141002678097e-15	2.92141002678097e-15
"TCGA.US.A779.01"	3.33308872665466e-15	3.33308872665466e-15	3.33308872665466e-15
"TCGA.US.A77G.01"	6.33110190768301e-15	6.33110190768301e-15	6.33110190768301e-15
"TCGA.XD.AAUI.01"	0.160172586199975	0.1550698738403	0.0828743393068578
"TCGA.YY.A8LH.01"	3.35481170743844e-06	3.07824476238281e-15	3.07824476238281e-15
"TCGA.Z5.AAPL.01"	0.00341603870898455	0.0107602747855484	0.268487633774764
