"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.HZ.A49G.01"	0.0740322987718172	0.0458114142708371	0.0212114737455065	0.0824954829760893	0.092792677311103	0.0355448532495167	0.0799598303274212
"TCGA.HZ.A49H.01"	0.114684942965048	0.159800062231149	0.034872447966997	0.194841900306076	0.101603223177113	0.0227942121729608	0.00104853621036231
"TCGA.HZ.A77P.01"	0.0085857375125253	1.36223022060203e-14	0.0399575522058057	0.242728865871388	0.166753850455208	0.0351212915201606	0.065167237023337
"TCGA.HZ.A77Q.01"	0.0699664265383865	0.138502545745067	0.00467221405259117	0.0615357658759529	0.1408789480254	0.00398997693468835	0.00926316508091665
"TCGA.IB.7645.01"	0.137964905950236	0.171183234365579	0.00551756005570605	0.140997730165254	0.0517076495792304	0.163982943942835	0.0516168650416673
"TCGA.IB.7646.01"	0.0459535328600307	1.08884428499979e-14	1.08884428499979e-14	1.08884428499979e-14	0.016265578233986	0.104930504785796	0.0560193906791282
"TCGA.IB.7647.01"	0.0496014306203502	0.217526238442848	0.0521393683285464	0.00502702081016252	0.0587644388470586	0.18652009728136	0.0681705421840315
"TCGA.IB.7649.01"	0.0577027979719535	0.133574287360679	0.0304283337822283	0.157450921378009	2.76210660915991e-10	0.0984300511059796	0.0738938760018908
"TCGA.IB.7651.01"	0.169157642092216	1.08804643297067e-14	0.15927331012081	1.08804643297067e-14	0.0277302463650135	0.214626046589994	0.0589649327220102
"TCGA.IB.7654.01"	1.32725229237834e-14	1.32725229237834e-14	0.113868109655155	0.00447129910562675	0.0657975208549305	0.0816923009804798	0.0272251681129967
"TCGA.IB.7885.01"	0.0459599726619274	0.0465451051451984	0.163487579316555	0.00362219772173299	0.0516184392440648	0.0101111182675644	0.0240686532337847
"TCGA.IB.7886.01"	0.0409314499874295	1.3429182310641e-14	0.0970096478745159	1.3429182310641e-14	0.00662667432936411	0.208953328321489	0.029457642788031
"TCGA.IB.7887.01"	0.00768424441748719	1.23896785915541e-14	0.041359169641669	1.23896785915541e-14	0.0105891976930896	0.0433332067297486	1.23896785915541e-14
"TCGA.IB.7888.01"	0.0356571537390402	0.179046243754163	0.035574046763636	0.198103037963285	0.0423102049681545	0.0507066491578888	8.92369444168072e-12
"TCGA.IB.7890.01"	1.13423540240246e-14	1.13423540240246e-14	0.00993389330791557	0.0176573775514971	1.13423540240246e-14	0.0856978581982006	0.00107198627691742
"TCGA.IB.7891.01"	0.133377779585155	0.0900433642622565	0.0895326445663538	0.0186278637472734	0.0484912008820229	0.110070814945699	0.00779533401710624
"TCGA.IB.7893.01"	1.00420703652152e-14	1.00420703652152e-14	1.00420703652152e-14	0.00862549066241816	1.00420703652152e-14	0.0843259525239057	0.0249389767962233
"TCGA.IB.7897.01"	0.0815925796063185	0.172100919888029	0.0314918020876576	0.128436732398372	0.0501728452434795	0.190332031141525	0.109305896607029
"TCGA.IB.8126.01"	0.0412737105199837	0.13866554632643	0.0669506347837043	0.0628352753109231	1.12119034889639e-14	1.12119034889639e-14	0.0454211205978142
"TCGA.IB.8127.01"	0.141907648868102	0.0106468507156491	0.0731805163058611	1.51634671615429e-14	0.0233783619757706	0.201028113503041	0.049515700640248
"TCGA.IB.A5SO.01"	0.0296765843837601	0.12821402960056	1.34966175246488e-14	0.0482416539225952	0.124150177483772	0.11663745444332	0.0683626957090614
"TCGA.IB.A5SQ.01"	1.48846273658977e-14	0.0383299376211039	0.0928063714273632	0.0319718135488853	0.138755482224188	0.0132055699298014	0.0502302230807962
"TCGA.IB.A5SS.01"	1.32763064048313e-14	1.32763064048313e-14	1.32763064048313e-14	0.00182568470389018	1.32763064048313e-14	0.0151438308267116	0.0580789460469071
"TCGA.IB.A5ST.01"	0.0568842841641881	0.322937386260713	0.0659100184613355	0.0914416682450327	0.18028101673383	0.0199905709421625	1.07532307688403e-14
"TCGA.IB.AAUP.01"	0.126781696376304	0.379277586520233	0.0651850176703109	0.034669493097055	0.158962303960937	0.0501648679764801	0.0419778202450492
"TCGA.IB.AAUQ.01"	1.20247220089792e-14	1.20247220089792e-14	0.0202115324300106	1.20247220089792e-14	0.133820314550636	0.0408073744378167	0.015546478290662
"TCGA.IB.AAUR.01"	0.143924831649493	0.37457493525307	0.0245195650046396	0.0893780653770447	0.127556022705918	0.0372323911884654	0.0398729025953267
"TCGA.IB.AAUS.01"	0.17449380090157	0.0612180841368961	0.0140212847704359	0.0846244159631358	0.00514091633770711	1.01915498293739e-14	0.0746555102663922
"TCGA.IB.AAUT.01"	0.149350139792426	0.129400291490132	0.0731520725621506	0.120028345226912	0.0423873346497238	0.0133908075132567	0.0328172934871857
"TCGA.IB.AAUV.01"	0.060850619046628	0.134487780846192	0.115574763176758	0.172986195072639	0.127172929673702	0.00382720935867176	0.040023942232012
"TCGA.M8.A5N4.01"	1.25679663901661e-14	1.25679663901661e-14	0.017359022050771	0.00195973151714021	0.0401075592052216	0.0407470840700525	0.0133667796481026
"TCGA.PZ.A5RE.01"	0.0301088310866525	1.22827347811128e-14	0.083267313962141	1.22827347811128e-14	0.000108733558947564	0.0174094003326711	0.0451456424148953
"TCGA.Q3.A5QY.01"	0.126517672125049	0.450378889449996	0.00910228535336518	0.0286839001750787	0.136469967642832	0.00615646373432808	7.65065230092465e-15
"TCGA.RB.A7B8.01"	0.0160948691158767	0.00704887642050391	0.0831814613544281	0.0339226742867272	0.0432175181243129	0.0178552840230367	0.0748061451262486
"TCGA.RL.AAAS.01"	0.0902183160721177	0.155411469851415	0.0448189379725771	0.148369925303037	0.0857054711605683	1.19216806036394e-14	8.94281465882191e-10
"TCGA.US.A774.01"	0.0459227458393807	0.0200236922824662	0.148716537001992	1.61712718600252e-10	0.0130334824299121	0.0125233480436463	0.093710815767944
"TCGA.US.A77E.01"	1.03942786456472e-14	1.03942786456472e-14	0.0576345707054156	1.03942786456472e-14	0.0358490139992132	0.0654552015261673	0.0429206029866895
"TCGA.US.A77J.01"	0.0860390731156622	0.317499107597235	0.0236510593165084	0.0387060841023433	0.135461527014984	9.07187963282818e-15	0.00360021021667098
"TCGA.XD.AAUG.01"	1.59772301308802e-14	0.0226522111982982	0.0702382915257573	0.260025279699904	0.128013373616238	1.59772301308802e-14	0.131547413112845
"TCGA.XD.AAUH.01"	0.00510020503864771	0.273227531593241	0.0604249488509665	0.155454372976414	0.128623610816461	0.0795193179562188	0.0525948871622498
"TCGA.XD.AAUL.01"	1.24060176479966e-14	1.24060176479966e-14	0.0159427896784524	1.24060176479966e-14	0.0513344820502182	0.0177504483934255	0.0476485978685063
"TCGA.XN.A8T3.01"	0.0168854580865377	1.61558838732045e-14	0.0037563193441624	1.61558838732045e-14	0.0730613512015226	0.0211634104886393	0.0734701142966918
"TCGA.XN.A8T5.01"	0.0427102498465909	0.247744466688615	0.0061791212051793	0.107978384842539	0.0919468885873442	0.026703783675464	0.00166923585606832
"TCGA.YB.A89D.01"	1.71213002838826e-14	0.018428902286598	0.0627589599789917	0.0791949148797395	0.0302059153994209	0.0237600538565071	0.0639064767600657
"TCGA.YH.A8SY.01"	1.1298707293287e-14	1.1298707293287e-14	0.0404200099371501	0.0323561203524375	1.1298707293287e-14	1.1298707293287e-14	0.025172523277731
