"ID"	"S01"	"S02"	"S03"
"TCGA.IB.A5SQ.01"	0.116402636620857	0.191625121055475	0.0289809335529266
"TCGA.IB.A5SS.01"	1.72877640293128e-14	0.122830805974822	0.0269035546999382
"TCGA.IB.A5ST.01"	0.590952585225468	0.0444729988842231	0.0252594696315052
"TCGA.IB.AAUP.01"	0.593275929349557	6.73777913039081e-15	0.0548486467856126
"TCGA.IB.AAUQ.01"	8.94818438333498e-15	8.94818438333498e-15	8.94818438333498e-15
"TCGA.IB.AAUR.01"	0.593930156835323	0.00891712069808727	0.0815204208840382
"TCGA.IB.AAUS.01"	0.172409772232751	0.321961710895835	0.146086983704732
"TCGA.IB.AAUT.01"	0.22417199027054	0.0994317161613488	0.125825637013845
"TCGA.IB.AAUV.01"	0.189225581361894	0.139987901979559	0.00820811586585915
"TCGA.M8.A5N4.01"	1.56213617741647e-14	0.0971452635022595	0.162576247592487
"TCGA.PZ.A5RE.01"	1.7076758122657e-14	0.188088697519251	0.00921740463760744
"TCGA.Q3.A5QY.01"	0.562265662814948	0.0421829447547446	0.0695310649497806
"TCGA.RB.A7B8.01"	0.0145968654603026	0.0105859648572971	0.0687249131133879
"TCGA.RL.AAAS.01"	0.224730985683991	0.00736310230187695	0.237943683684395
"TCGA.US.A774.01"	0.0906238034816291	0.0914363053786883	0.263903811203997
"TCGA.US.A77E.01"	3.18423589468331e-15	3.18423589468331e-15	0.000128719038480829
"TCGA.US.A77J.01"	0.557598817799002	0.0545159748870193	0.0801370573869844
"TCGA.XD.AAUG.01"	0.00662385459724046	0.037969255253368	2.04531901150871e-14
"TCGA.XD.AAUH.01"	0.45483066831289	9.91992778155729e-15	0.000832286342835939
"TCGA.XD.AAUL.01"	1.81637994496686e-14	0.0359933082510059	1.81637994496686e-14
"TCGA.XN.A8T3.01"	1.39863050638904e-14	1.39863050638904e-14	0.121035337618319
"TCGA.XN.A8T5.01"	0.500430984599054	0.00711566399039385	0.0402389038762239
"TCGA.YB.A89D.01"	0.0688654283491468	0.167940183650501	0.0313117326144209
"TCGA.YH.A8SY.01"	1.28402811014546e-14	1.28402811014546e-14	0.0215362833635669
